SUB_ID	LAST_NAME	FIRST_NAME	GENDER	BIRTH_DT	SUBGRP_ID	GRP_ID	EFF_DT	TERM_DT	ELIG_IND
201000048	EVANS	abishai	m	2/17/1957	7	12351	06-01-2012	12/31/2016	Y
201000049	EDWARDS	abital	f	2/18/1957	1	12352	03-01-2012	12/31/2017	Y
201000050	COLLINS	'abla	f	2/19/1957	2	12352	03-01-2012	12/31/2017	Y
201000051	STEWART	abner	m	2/20/1957	3	12352	03-01-2012	12/31/2017	Y
201000052	SANCHEZ	abraham	m	2/21/1957	4	12352	03-01-2012	12/31/2017	Y
201000053	MORRIS	abram	m	2/22/1957	5	12352	03-01-2012	12/31/2011	Y
201000054	ROGERS	absalom	m	2/23/1957	6	12352	03-01-2012	12/31/2017	Y
201000055	REED	absolon	m	2/24/1957	7	12352	03-01-2012	12/31/2017	Y
201000056	COOK	acacia	f	2/25/1957	1	12353	12-01-2011	12/31/2014	Y
201000057	MORGAN	acacius	m	2/26/1957	2	12353	12-01-2011	12/31/2014	Y
201000058	BELL	acantha	f	2/27/1957	3	12353	12-01-2011	12/31/2014	Y
201000059	MURPHY	ace	m	2/28/1957	4	12353	12-01-2011	12/31/2014	Y
201000060	BAILEY	achaicus	m	03-01-1957	5	12353	12-01-2011	12/31/2011	Y
201000061	RIVERA	achan	m	03-02-1957	6	12353	12-01-2011	12/31/2014	Y
201000062	COOPER	achieng	f	03-03-1957	7	12353	12-01-2011	12/31/2014	Y
201000063	RICHARDSON	achille	m	03-04-1957	1	12354	09-01-2011	12/31/2015	Y
201000064	COX	achilles	m	03-05-1957	2	12354	09-01-2011	12/31/2015	Y
201000065	HOWARD	achim	m	03-06-1957	3	12354	09-01-2011	12/31/2015	Y
201000066	WARD	acke	m	03-07-1957	4	12354	09-01-2011	12/31/2011	Y
201000067	TORRES	ada	f	03-08-1957	5	12354	09-01-2011	12/31/2015	Y
201000068	PETERSON	adah	f	03-09-1957	6	12354	09-01-2011	12/31/2011	Y
201000069	GRAY	adair	m	03-10-1957	7	12354	09-01-2011	12/31/2015	Y
201000070	RAMIREZ	adalbert	m	03-11-1957	1	12345	01-01-2014	12/31/2014	Y
201000071	JAMES	adalberto	m	03-12-1957	2	12345	01-01-2014	12/31/2014	Y
201000072	WATSON	adalheid	f	3/13/1957	3	12345	01-01-2014	12/31/2014	Y
201000073	BROOKS	adalia	m	3/14/1957	4	12345	01-01-2014	12/31/2014	Y
201000074	KELLY	 d m	m	3/15/1957	5	12345	01-01-2014	12/31/2014	Y
201000075	SANDERS	adam	m	3/16/1957	6	12345	01-01-2014	12/31/2014	Y
201000076	PRICE	adamina	f	3/17/1957	7	12345	01-01-2014	12/31/2014	Y
201000077	BENNETT	adamo	m	3/18/1957	1	12346	09-01-2013	12/31/2015	Y
201000078	WOOD	ad n	m	3/19/1957	2	12346	09-01-2013	12/31/2015	Y
201000079	BARNES	ad?o	m	3/20/1957	3	12346	09-01-2013	12/31/2015	Y
201000080	ROSS	adara	f	3/21/1957	4	12346	09-01-2013	12/31/2015	Y
201000081	HENDERSON	addie	f	3/22/1957	5	12345	09-01-2013	12/31/2013	Y
201000082	COLEMAN	addison	m	3/23/1957	6	12345	09-01-2013	12/31/2013	Y
201000083	JENKINS	addy	f	3/24/1957	7	12346	09-01-2013	12/31/2015	Y
201000084	PERRY	adel	m	3/25/1957	1	12345	06-01-2013	12/31/2013	Y
201000085	POWELL	adela	f	3/26/1957	2	12347	06-01-2013	12/31/2016	Y
201000086	LONG	ad‚la‹de	f	3/27/1957	3	12347	06-01-2013	12/31/2016	Y
201000087	PATTERSON	adelaide	f	3/28/1957	4	12347	06-01-2013	12/31/2016	Y
201000088	HUGHES	adŠle	f	3/29/1957	5	12347	06-01-2013	12/31/2016	Y
201000089	FLORES	adelheid	f	3/30/1957	6	12347	06-01-2013	12/31/2016	Y
201000090	WASHINGTON	adelia	f	3/31/1957	7	12345	06-01-2013	12/31/2013	Y
201000091	BUTLER	adelina	f	04-01-1957	1	12348	03-01-2013	12/31/2017	Y
201000092	SIMMONS	adeline	f	04-02-1957	2	12348	03-01-2013	12/31/2017	Y
201000093	FOSTER	adelle	f	04-03-1957	3	12348	03-01-2013	12/31/2017	Y
201000094	GONZALES	adelmar	m	04-04-1957	4	12348	03-01-2013	12/31/2017	Y
201000095	BRYANT	adem	m	04-05-1957	5	12348	03-01-2013	12/31/2017	Y
201000096	ALEXANDER	aden	m	04-06-1957	6	12348	03-01-2013	12/31/2013	Y
201000097	RUSSELL	adena	f	04-07-1957	7	12348	03-01-2013	12/31/2017	Y
201000098	GRIFFIN	adhara	f	04-08-1957	1	12349	12-01-2012	12/31/2014	Y
201000099	DIAZ	adhiambo	f	04-09-1957	2	12349	12-01-2012	12/31/2014	Y
201000100	HAYES	adi	f	04-10-1957	3	12349	12-01-2012	12/31/2014	Y
201000101	MYERS	adil	m	04-11-1957	4	12349	12-01-2012	12/31/2014	Y
201000102	FORD	adina	f	04-12-1957	5	12349	12-01-2012	12/31/2012	Y
201000103	HAMILTON	adino	m	4/13/1957	6	12349	12-01-2012	12/31/2014	Y
201000104	GRAHAM	adisa	m	4/14/1957	7	12349	12-01-2012	12/31/2014	Y
201000105	SULLIVAN	aditya	m	4/15/1957	1	12350	09-01-2012	12/31/2015	Y
201000106	WALLACE	adjoa	f	4/16/1957	2	12350	09-01-2012	12/31/2015	Y
201000107	WOODS	adlai	m	4/17/1957	3	12350	09-01-2012	12/31/2015	Y
201000108	COLE	adolf	m	4/18/1957	4	12349	09-01-2012	12/31/2012	Y
201000109	WEST	adolfo	m	4/19/1957	5	12350	09-01-2012	12/31/2015	Y
201000110	JORDAN	adolph	m	4/20/1957	6	12350	09-01-2012	12/31/2015	Y
201000111	OWENS	adolphe	m	4/21/1957	7	12350	09-01-2012	12/31/2015	Y
201000112	REYNOLDS	adolphus	m	4/22/1957	1	12351	06-01-2012	12/31/2016	Y
201000113	FISHER	adonai	m	4/23/1957	2	12351	06-01-2012	12/31/2016	Y
201000114	ELLIS	adonia	f	4/24/1957	3	12351	06-01-2012	12/31/2016	Y
201000115	HARRISON	adonijah	m	4/25/1957	4	12351	06-01-2012	12/31/2016	Y
201000116	GIBSON	adonis	m	4/26/1957	5	12351	06-01-2012	12/31/2016	Y
201000117	MCDONALD	adora	f	4/27/1957	7	12351	06-01-2012	12/31/2016	Y
201000118	CRUZ	adorinda	f	4/28/1957	1	12352	03-01-2012	12/31/2017	Y
201000119	MARSHALL	adorj n	m	4/29/1957	2	12352	03-01-2012	12/31/2017	Y
201000120	ORTIZ	adrasteia	f	4/30/1957	3	12352	03-01-2012	12/31/2017	Y
201000121	GOMEZ	adrastos	m	05-01-1957	4	12352	03-01-2012	12/31/2017	Y
201000122	MURRAY	adria	f	05-02-1957	5	12352	03-01-2012	12/31/2011	Y
201000123	FREEMAN	adriaan	m	05-03-1957	6	12352	03-01-2012	12/31/2017	Y
201000124	WELLS	adri n	m	05-04-1957	7	12352	03-01-2012	12/31/2017	Y
201000125	WEBB	adrian	m	05-05-1957	1	12353	12-01-2011	12/31/2014	Y
201000126	SIMPSON	adriana	f	05-06-1957	2	12353	12-01-2011	12/31/2014	Y
201000127	STEVENS	adrianna	f	05-07-1957	3	12353	12-01-2011	12/31/2014	Y
201000128	TUCKER	adrianne	f	05-08-1957	4	12353	12-01-2011	12/31/2014	Y
201000129	PORTER	adriano	m	05-09-1957	5	12353	12-01-2011	12/31/2011	Y
201000130	HUNTER	adrien	m	05-10-1957	6	12353	12-01-2011	12/31/2014	Y
201000131	HICKS	adrienn	f	05-11-1957	7	12353	12-01-2011	12/31/2014	Y
201000132	CRAWFORD	adrienne	f	05-12-1957	1	12354	09-01-2011	12/31/2015	Y
201000133	HENRY	adwoa	f	5/13/1957	2	12354	09-01-2011	12/31/2015	Y
201000134	BOYD	aegle	f	5/14/1957	3	12354	09-01-2011	12/31/2015	Y
201000135	MASON	‘lfwine	m	5/15/1957	4	12354	09-01-2011	12/31/2011	Y
201000136	MORALES	aella	f	5/16/1957	5	12354	09-01-2011	12/31/2015	Y
201000137	KENNEDY	‘lred	m	5/17/1957	6	12354	09-01-2011	12/31/2011	Y
201000138	WARREN	aemilia	f	5/18/1957	7	12354	09-01-2011	12/31/2015	Y
201000139	DIXON	aeneas	m	5/19/1957	1	12345	01-01-2014	12/31/2014	Y
201000140	RAMOS	aengus	m	5/20/1957	2	12345	01-01-2014	12/31/2014	Y
201000141	REYES	aeolus	m	5/21/1957	3	12345	01-01-2014	12/31/2014	Y
201000142	BURNS	aeron (1)	m	5/22/1957	4	12345	01-01-2014	12/31/2014	Y
201000143	GORDON	aeron (2)	f	5/23/1957	5	12345	01-01-2014	12/31/2014	Y
201000144	SHAW	aeronwen	f	5/24/1957	6	12345	01-01-2014	12/31/2014	Y
201000145	HOLMES	aeronwy	f	5/25/1957	7	12345	01-01-2014	12/31/2014	Y
201000146	RICE	‘sc	m	5/26/1957	1	12346	09-01-2013	12/31/2015	Y
201000147	ROBERTSON	aeschylus	m	5/27/1957	2	12346	09-01-2013	12/31/2015	Y
201000148	HUNT	aeson	m	5/28/1957	3	12346	09-01-2013	12/31/2015	Y
201000149	BLACK	aesop	m	5/29/1957	4	12346	09-01-2013	12/31/2015	Y
201000150	DANIELS	‘?elbert	m	5/30/1957	5	12345	09-01-2013	12/31/2013	Y
201000151	PALMER	‘?elfrid	m	5/31/1957	6	12345	09-01-2013	12/31/2013	Y
201000152	MILLS	‘?elm‘r	m	06-01-1957	7	12346	09-01-2013	12/31/2015	Y
201000153	NICHOLS	‘?elred	m	06-02-1957	1	12345	06-01-2013	12/31/2013	Y
201000154	GRANT	‘?elstan	m	06-03-1957	2	12347	06-01-2013	12/31/2016	Y
201000155	KNIGHT	‘?el?ry?	f	06-04-1957	3	12347	06-01-2013	12/31/2016	Y
201000156	FERGUSON	afanasi	m	06-05-1957	4	12347	06-01-2013	12/31/2016	Y
201000157	ROSE	afanasy	m	06-06-1957	5	12347	06-01-2013	12/31/2016	Y
201000158	STONE	afanen	f	06-07-1957	6	12347	06-01-2013	12/31/2016	Y
201000159	HAWKINS	afia	f	06-08-1957	7	12345	06-01-2013	12/31/2013	Y
201000160	DUNN	afolabi	m	06-09-1957	1	12348	03-01-2013	12/31/2017	Y
201000161	PERKINS	afon	f	06-10-1957	2	12348	03-01-2013	12/31/2017	Y
201000162	HUDSON	afonso	m	06-11-1957	3	12348	03-01-2013	12/31/2017	Y
201000163	SPENCER	afra	f	06-12-1957	4	12348	03-01-2013	12/31/2017	Y
201000164	GARDNER	africa	f	6/13/1957	5	12348	03-01-2013	12/31/2017	Y
201000165	STEPHENS	afua	f	6/14/1957	6	12348	03-01-2013	12/31/2013	Y
201000166	PAYNE	agafya	f	6/15/1957	7	12348	03-01-2013	12/31/2017	Y
201000167	PIERCE	agamemnon	m	6/16/1957	1	12349	12-01-2012	12/31/2014	Y
201000168	BERRY	agape	f	6/17/1957	2	12349	12-01-2012	12/31/2014	Y
201000169	MATTHEWS	agapios	m	6/18/1957	3	12349	12-01-2012	12/31/2014	Y
201000170	ARNOLD	agata	f	6/19/1957	4	12349	12-01-2012	12/31/2014	Y
201000171	WAGNER	agatha	f	6/20/1957	5	12349	12-01-2012	12/31/2012	Y
201000172	WILLIS	agathangelos	f	6/21/1957	6	12349	12-01-2012	12/31/2014	Y
201000173	RAY	agathe	f	6/22/1957	7	12349	12-01-2012	12/31/2014	Y
201000174	WATKINS	agathon	m	6/23/1957	1	12350	09-01-2012	12/31/2015	Y
201000175	OLSON	agaue	f	6/24/1957	2	12350	09-01-2012	12/31/2015	Y
201000176	CARROLL	aggie	f	6/25/1957	3	12350	09-01-2012	12/31/2015	Y
201000177	DUNCAN	aghavni	f	6/26/1957	4	12349	09-01-2012	12/31/2012	Y
201000178	SNYDER	 gi	f	6/27/1957	5	12350	09-01-2012	12/31/2015	Y
201000179	HART	aglaia	f	6/28/1957	6	12350	09-01-2012	12/31/2015	Y
201000180	CUNNINGHAM	aglaya	f	6/29/1957	7	12350	09-01-2012	12/31/2015	Y
201000181	BRADLEY	aglea	f	6/30/1957	1	12351	06-01-2012	12/31/2016	Y
201000182	LANE	 gnes	f	07-01-1957	2	12351	06-01-2012	12/31/2016	Y
201000183	ANDREWS	agnŠs	f	07-02-1957	3	12351	06-01-2012	12/31/2016	Y
201000184	RUIZ	agnes	f	07-03-1957	4	12351	06-01-2012	12/31/2016	Y
201000185	HARPER	agnese	f	07-04-1957	5	12351	06-01-2012	12/31/2016	Y
201000186	FOX	agnessa	f	07-05-1957	7	12351	06-01-2012	12/31/2016	Y
201000187	RILEY	agneta	f	07-06-1957	1	12352	03-01-2012	12/31/2017	Y
201000188	ARMSTRONG	agnethe	f	07-07-1957	2	12352	03-01-2012	12/31/2017	Y
201000189	CARPENTER	agnieszka	f	07-08-1957	3	12352	03-01-2012	12/31/2017	Y
201000190	WEAVER	agostina	f	07-09-1957	4	12352	03-01-2012	12/31/2017	Y
201000191	GREENE	agostinho	m	07-10-1957	5	12352	03-01-2012	12/31/2011	Y
201000192	LAWRENCE	agostino	m	07-11-1957	6	12352	03-01-2012	12/31/2017	Y
201000193	ELLIOTT	 goston	m	07-12-1957	7	12352	03-01-2012	12/31/2017	Y
201000194	CHAVEZ	 gota	f	7/13/1957	1	12353	12-01-2011	12/31/2014	Y
201000195	SIMS	agrafena	f	7/14/1957	2	12353	12-01-2011	12/31/2014	Y
201000196	AUSTIN	agrippa	m	7/15/1957	3	12353	12-01-2011	12/31/2014	Y
201000197	PETERS	agrippina	f	7/16/1957	4	12353	12-01-2011	12/31/2014	Y
201000198	KELLEY	agrona	f	7/17/1957	5	12353	12-01-2011	12/31/2011	Y
201000199	FRANKLIN	 gueda	f	7/18/1957	6	12353	12-01-2011	12/31/2014	Y
201000200	LAWSON	agust¡n	m	7/19/1957	7	12353	12-01-2011	12/31/2014	Y
201000201	FIELDS	ah	m	7/20/1957	1	12354	09-01-2011	12/31/2015	Y
201000202	GUTIERREZ	ahab	m	7/21/1957	2	12354	09-01-2011	12/31/2015	Y
201000203	RYAN	aharon	m	7/22/1957	3	12354	09-01-2011	12/31/2015	Y
201000204	SCHMIDT	ahmad	m	7/23/1957	4	12354	09-01-2011	12/31/2011	Y
201000205	CARR	ahmed	m	7/24/1957	5	12354	09-01-2011	12/31/2015	Y
201000206	VASQUEZ	ahmet	m	7/25/1957	6	12354	09-01-2011	12/31/2011	Y
201000207	CASTILLO	ahriman	m	7/26/1957	7	12354	09-01-2011	12/31/2015	Y
201000208	WHEELER	ahtahkakoop	m	7/27/1957	1	12345	01-01-2014	12/31/2014	Y
201000209	CHAPMAN	ahura mazda	m	7/28/1957	2	12345	01-01-2014	12/31/2014	Y
201000210	OLIVER	ahuva	f	7/29/1957	3	12345	01-01-2014	12/31/2014	Y
201000211	MONTGOMERY	ai (1)	f	7/30/1957	4	12345	01-01-2014	12/31/2014	Y
201000212	RICHARDS	ai (2)	f	7/31/1957	5	12345	01-01-2014	12/31/2014	Y
201000213	WILLIAMSON	aias	m	08-01-1957	6	12345	01-01-2014	12/31/2014	Y
201000214	JOHNSTON	aida	f	08-02-1957	7	12345	01-01-2014	12/31/2014	Y
201000215	BANKS	aidan	m	08-03-1957	1	12346	09-01-2013	12/31/2015	Y
201000216	MEYER	aiden	m	08-04-1957	2	12346	09-01-2013	12/31/2015	Y
201000217	BISHOP	aign‚is	f	08-05-1957	3	12346	09-01-2013	12/31/2015	Y
201000218	MCCOY	aikaterine	f	08-06-1957	4	12346	09-01-2013	12/31/2015	Y
201000219	HOWELL	ailbhe	m	08-07-1957	5	12345	09-01-2013	12/31/2013	Y
201000220	ALVAREZ	aileas	f	08-08-1957	6	12345	09-01-2013	12/31/2013	Y
201000221	MORRISON	aileen	f	08-09-1957	7	12346	09-01-2013	12/31/2015	Y
201000222	HANSEN	ailill	m	08-10-1957	1	12345	06-01-2013	12/31/2013	Y
201000223	FERNANDEZ	ail¡n	m	08-11-1957	2	12347	06-01-2013	12/31/2016	Y
201000224	GARZA	ail¡s	f	08-12-1957	3	12347	06-01-2013	12/31/2016	Y
201000225	HARVEY	ailpein	m	8/13/1957	4	12347	06-01-2013	12/31/2016	Y
201000226	LITTLE	ailsa	f	8/14/1957	5	12347	06-01-2013	12/31/2016	Y
201000227	BURTON	aim‚	m	8/15/1957	6	12347	06-01-2013	12/31/2016	Y
201000228	STANLEY	aim‚e	f	8/16/1957	7	12345	06-01-2013	12/31/2013	Y
201000229	NGUYEN	aimo	m	8/17/1957	1	12348	03-01-2013	12/31/2017	Y
201000230	GEORGE	aina	f	8/18/1957	2	12348	03-01-2013	12/31/2017	Y
201000231	JACOBS	aindrea	m	8/19/1957	3	12348	03-01-2013	12/31/2017	Y
201000232	REID	aindr‚as	m	8/20/1957	4	12348	03-01-2013	12/31/2017	Y
201000233	KIM	aindri£	m	8/21/1957	5	12348	03-01-2013	12/31/2017	Y
201000234	FULLER	 ine	f	8/22/1957	6	12348	03-01-2013	12/31/2013	Y
201000235	LYNCH	aingeal	f	8/23/1957	7	12348	03-01-2013	12/31/2017	Y
201000236	DEAN	aino	f	8/24/1957	1	12349	12-01-2012	12/31/2014	Y
201000237	GILBERT	ainsley	m	8/25/1957	2	12349	12-01-2012	12/31/2014	Y
201000238	GARRETT	ainslie	m	8/26/1957	3	12349	12-01-2012	12/31/2014	Y
201000239	ROMERO	aintzane	f	8/27/1957	4	12349	12-01-2012	12/31/2014	Y
201000240	WELCH	aiolos	m	8/28/1957	5	12349	12-01-2012	12/31/2012	Y
201000241	LARSON	'aisha	f	8/29/1957	6	12349	12-01-2012	12/31/2014	Y
201000242	FRAZIER	aislin	f	8/30/1957	7	12349	12-01-2012	12/31/2014	Y
201000243	BURKE	aisling	f	8/31/1957	1	12350	09-01-2012	12/31/2015	Y
201000244	HANSON	aislinn	f	09-01-1957	2	12350	09-01-2012	12/31/2015	Y
201000245	DAY	aithne	f	09-02-1957	3	12350	09-01-2012	12/31/2015	Y
201000246	MENDOZA	aitor	m	09-03-1957	4	12349	09-01-2012	12/31/2012	Y
201000247	MORENO	ajax	m	09-04-1957	5	12350	09-01-2012	12/31/2015	Y
201000248	BOWMAN	ajeet	m	09-05-1957	6	12350	09-01-2012	12/31/2015	Y
201000249	MEDINA	ajit	m	09-06-1957	7	12350	09-01-2012	12/31/2015	Y
201000250	FOWLER	ajith	m	09-07-1957	1	12351	06-01-2012	12/31/2016	Y
201000251	BREWER	akakios	m	09-08-1957	2	12351	06-01-2012	12/31/2016	Y
201000252	HOFFMAN	akamu	m	09-09-1957	3	12351	06-01-2012	12/31/2016	Y
201000253	CARLSON	akanksha	f	09-10-1957	4	12351	06-01-2012	12/31/2016	Y
201000254	SILVA	akeem	m	09-11-1957	5	12351	06-01-2012	12/31/2016	Y
201000255	PEARSON	akemi	f	09-12-1957	7	12351	06-01-2012	12/31/2016	Y
201000256	HOLLAND	akhil	m	9/13/1957	1	12352	03-01-2012	12/31/2017	Y
201000257	DOUGLAS	aki	m	9/14/1957	2	12352	03-01-2012	12/31/2017	Y
201000258	FLEMING	akiko	f	9/15/1957	3	12352	03-01-2012	12/31/2017	Y
201000259	JENSEN	akilah	f	9/16/1957	4	12352	03-01-2012	12/31/2017	Y
201000260	VARGAS	akilina	f	9/17/1957	5	12352	03-01-2012	12/31/2011	Y
201000261	BYRD	akim	m	9/18/1957	6	12352	03-01-2012	12/31/2017	Y
201000262	DAVIDSON	akinyi	f	9/19/1957	7	12352	03-01-2012	12/31/2017	Y
201000263	HOPKINS	akio	m	9/20/1957	1	12353	12-01-2011	12/31/2014	Y
201000264	MAY	akira	m	9/21/1957	2	12353	12-01-2011	12/31/2014	Y
201000265	TERRY	akiva	m	9/22/1957	3	12353	12-01-2011	12/31/2014	Y
201000266	HERRERA	akoni	m	9/23/1957	4	12353	12-01-2011	12/31/2014	Y
201000267	WADE	akosua	f	9/24/1957	5	12353	12-01-2011	12/31/2011	Y
201000268	SOTO	aksel	m	9/25/1957	6	12353	12-01-2011	12/31/2014	Y
201000269	WALTERS	aksinya	f	9/26/1957	7	12353	12-01-2011	12/31/2014	Y
201000270	CURTIS	aku	m	9/27/1957	1	12354	09-01-2011	12/31/2015	Y
201000271	NEAL	akua	f	9/28/1957	2	12354	09-01-2011	12/31/2015	Y
201000272	CALDWELL	akulina	f	9/29/1957	3	12354	09-01-2011	12/31/2015	Y
201000273	LOWE	al	m	9/30/1957	4	12354	09-01-2011	12/31/2011	Y
201000274	JENNINGS	alaba	f	10-01-1957	5	12354	09-01-2011	12/31/2015	Y
201000275	BARNETT	alain	m	10-02-1957	6	12354	09-01-2011	12/31/2011	Y
201000276	GRAVES	alaina	f	10-03-1957	7	12354	09-01-2011	12/31/2015	Y
201000277	JIMENEZ	alan	m	10-04-1957	1	12345	01-01-2014	12/31/2014	Y
201000278	HORTON	alana	f	10-05-1957	2	12345	01-01-2014	12/31/2014	Y
201000279	SHELTON	alanis	f	10-06-1957	3	12345	01-01-2014	12/31/2014	Y
201000280	BARRETT	alanna	f	10-07-1957	4	12345	01-01-2014	12/31/2014	Y
201000281	OBRIEN	alannah	f	10-08-1957	5	12345	01-01-2014	12/31/2014	Y
201000282	CASTRO	alannis	f	10-09-1957	6	12345	01-01-2014	12/31/2014	Y
201000283	SUTTON	alaois	m	10-10-1957	7	12345	01-01-2014	12/31/2014	Y
201000284	GREGORY	alaric	m	10-11-1957	1	12346	09-01-2013	12/31/2015	Y
201000285	MCKINNEY	alasdair	m	10-12-1957	2	12346	09-01-2013	12/31/2015	Y
201000286	LUCAS	alastair	m	10/13/1957	3	12346	09-01-2013	12/31/2015	Y
201000287	MILES	alastar	m	10/14/1957	4	12346	09-01-2013	12/31/2015	Y
201000288	CRAIG	alastr¡ona	f	10/15/1957	5	12345	09-01-2013	12/31/2013	Y
201000289	RODRIQUEZ	alayna	f	10/16/1957	6	12345	09-01-2013	12/31/2013	Y
201000290	CHAMBERS	alba	f	10/17/1957	7	12346	09-01-2013	12/31/2015	Y
201000291	HOLT	alban	m	10/18/1957	1	12345	06-01-2013	12/31/2013	Y
201000292	LAMBERT	alberic	m	10/19/1957	2	12347	06-01-2013	12/31/2016	Y
201000293	FLETCHER	albert	m	10/20/1957	3	12347	06-01-2013	12/31/2016	Y
201000294	WATTS	alberta	f	10/21/1957	4	12347	06-01-2013	12/31/2016	Y
201000295	BATES	albertina	f	10/22/1957	5	12347	06-01-2013	12/31/2016	Y
201000296	HALE	albertine	f	10/23/1957	6	12347	06-01-2013	12/31/2016	Y
201000297	RHODES	alberto	m	10/24/1957	7	12345	06-01-2013	12/31/2013	Y
201000298	PENA	albina	f	10/25/1957	1	12348	03-01-2013	12/31/2017	Y
201000299	BECK	albrecht	m	10/26/1957	2	12348	03-01-2013	12/31/2017	Y
201000300	NEWMAN	alby	m	10/27/1957	3	12348	03-01-2013	12/31/2017	Y
201000301	HAYNES	alcaeus	m	10/28/1957	4	12348	03-01-2013	12/31/2017	Y
201000302	MCDANIEL	alcippe	f	10/29/1957	5	12348	03-01-2013	12/31/2017	Y
201000303	MENDEZ	alcyone	f	10/30/1957	6	12348	03-01-2013	12/31/2013	Y
201000304	BUSH	alden	m	10/31/1957	7	12348	03-01-2013	12/31/2017	Y
